AUTHOR_KEY,AUTHOR_NAME,AUTHOR_AUX,AUTHOR_BIBTEX,AUTHOR_ORCID
books/bc/AtzeniA93,Paolo Atzeni,,,
books/bc/AtzeniA93,Valeria De Antonellis,,,
books/bc/FischerL1991,Charles N. Fischer,,,
books/bc/FischerL1991,Richard J. LeBlanc,,,
books/bc/Booch90,Grady Booch,,,
books/bc/BatiniCN92,Carlo Batini,,,
books/bc/BatiniCN92,Stefano Ceri,,,
books/bc/BatiniCN92,Shamkant B. Navathe,,,
books/el/Borger1989,Egon Börger,,,
books/el/YoungC74,Tzay Y. Young,,,
books/el/YoungC74,Thomas W. Calvert,,,
books/el/TaaliaTM2015,Domenico Talia,,,
books/el/TaaliaTM2015,Paolo Trunfio,,,
books/el/TaaliaTM2015,Fabrizio Marozzo,,,
books/el/LennerstadL03,Håkan Lennerstad,,,
books/el/LennerstadL03,Lars Lundberg,,,
books/ph/Wilkinson98,Barry Wilkinson,,,
books/ph/Wilkinson98,Michael Allen,,,
books/ph/PittmanP1992,Thomas Pittman,,,
books/ph/PittmanP1992,James Peters,,,
books/ph/TeoreyF82,Toby J. Teorey,,,
books/ph/TeoreyF82,James P. Fry,,,
books/ph/Meyer94,Bertrand Meyer,,,
books/ph/PapadimitriouS82,Christos H. Papadimitriou,,,
books/ph/PapadimitriouS82,Kenneth Steiglitz,,,
books/ph/Shasha92,Dennis E. Shasha,,,
books/ph/Meyer95,Bertrand Meyer,,,
books/ph/Meyer97,Bertrand Meyer,,,
books/ph/Backhouse1979,Roland Carl Backhouse,,,
books/ph/OzsuV99,M. Tamer Özsu,,,
books/ph/OzsuV99,Patrick Valduriez,,,
books/ph/Rodgers90,Ulka Rodgers,,,
books/ph/Jones87,Simon L. Peyton Jones,,,
books/ph/KernighanR88,Brian W. Kernighan,,,
books/ph/KernighanR88,Dennis Ritchie,,,
books/ph/RumbaughBPEL91,James E. Rumbaugh,,,
books/ph/RumbaughBPEL91,Michael R. Blaha,,,
books/ph/RumbaughBPEL91,William J. Premerlani,,,
books/ph/RumbaughBPEL91,Frederick Eddy,,,
books/ph/RumbaughBPEL91,William E. Lorensen,,,
books/ph/LewisP81,Harry R. Lewis,,,
books/ph/LewisP81,Christos H. Papadimitriou,,,
books/ph/Dijkstra76,Edsger W. Dijkstra,,,
books/ph/OzsuV91,M. Tamer Özsu,,,
books/ph/OzsuV91,Patrick Valduriez,,,
books/ph/Tanenbaum92,Andrew S. Tanenbaum,,,
books/ph/Tanenbaum81,Andrew S. Tanenbaum,,,
books/ph/Hoare85,C. A. R. Hoare,,,
books/ph/Meyer94a,Bertrand Meyer,,,
books/ph/Topley00,Kim Topley,,,
books/ph/Meyer01,Bertrand Meyer,,,
books/ph/WelshH1986,Jim Welsh,,,
books/ph/WelshH1986,Atholl Hay,,,
books/ph/BestR85,Michael J. Best,,,
books/ph/BestR85,Klaus Ritter 0002,,,
books/ph/Meyer91,Bertrand Meyer,,,
books/ph/Geary99,David M. Geary,,,
books/ph/KemperM94,Alfons Kemper,,,
books/ph/KemperM94,Guido Moerkotte,,,
books/ph/CoffmanD73,Edward G. Coffman Jr.,,,
books/ph/CoffmanD73,Peter J. Denning,,,
books/ph/JainD88,Anil K. Jain,,,
books/ph/JainD88,Richard C. Dubes,,,
books/ph/Lightstone2000,Sam Lightstone,,,
books/ph/Dunham02,Margaret H. Dunham,,,
books/ph/KernighanR78,Brian W. Kernighan,,,
books/ph/KernighanR78,Dennis Ritchie,,,
books/ph/Hansen1985,Per Brinch Hansen,,,
books/ph/Garcia-MolinaUW99,Hector Garcia-Molina,,,
books/ph/Garcia-MolinaUW99,Jeffrey D. Ullman,,,
books/ph/Garcia-MolinaUW99,Jennifer Widom,,,
books/ph/Bach86,Maurice J. Bach,,,
books/ph/Salzberg88,Betty Salzberg,,,
books/ph/MeyerN93,Bertrand Meyer,,,
books/ph/MeyerN93,Jean-Marc Nerson,,,
books/ph/BattistaETT99,Giuseppe Di Battista,,,
books/ph/BattistaETT99,Peter Eades,,,
books/ph/BattistaETT99,Roberto Tamassia,,,
books/ph/BattistaETT99,Ioannis G. Tollis,,,
books/ph/Tomlin90,C. Dana Tomlin,,,
books/ph/Meyer90,Bertrand Meyer,,,
books/ph/Meyer88,Bertrand Meyer,,,
books/ph/WaldenN94,Kim Walden,,,
books/ph/WaldenN94,Jean-Marc Nerson,,,
books/ph/UllmanW97,Jeffrey D. Ullman,,,
books/ph/UllmanW97,Jennifer Widom,,,
books/ph/WakemanJ93,Lois Wakeman,,,
books/ph/WakemanJ93,Jonathan Jowett,,,
books/harper/Gallier86,Jean H. Gallier,,,
books/harper/WaiteC1993,William M. Waite,,,
books/harper/WaiteC1993,Lynn Robert Carter,,,
books/kl/Bertino97,Elisa Bertino,,,
books/kl/Bertino97,Beng Chin Ooi,,,
books/kl/Bertino97,Ron Sacks-Davis,,,
books/kl/Bertino97,Kian-Lee Tan,,,
books/kl/Bertino97,Justin Zobel,,,
books/kl/Bertino97,Boris Shidlovsky,,,
books/kl/Bertino97,Barbara Catania,,,
books/kl/Rosenblum95,Mendel Rosenblum,,,
books/kl/Manolopoulos1999,Yannis Manolopoulos,,,
books/kl/Manolopoulos1999,Yannis Theodoridis,,,
books/kl/Manolopoulos1999,Vassilis J. Tsotras,,,
books/kl/CacaceL96,Filippo Cacace,,,
books/kl/CacaceL96,Gianfranco Lamperti,,,
books/kl/Xue00,Jingling Xue,,,
books/kl/NetelerM02,Markus Neteler,,,
books/kl/NetelerM02,Helena Mitásová,,,
books/kl/MenaI01,Eduardo Mena,,,
books/kl/MenaI01,Arantza Illarramendi,,,
books/kl/ChangHMW01,George Jyh-Shian Chang,,,
books/kl/ChangHMW01,Marcus J. Healey,,,
books/kl/ChangHMW01,James A. M. McHugh,,,
books/kl/ChangHMW01,Jason Tsong-Li Wang,,,
books/kl/Franklin96,Michael J. Franklin,,,
books/kl/Cordeschi02,Roberto Cordeschi,,,
books/kl/MoffatT02,Alistair Moffat,,,
books/kl/MoffatT02,Andrew Turpin,,,
books/kl/WangZL01,Richard Y. Wang,,,
books/kl/WangZL01,Mostapha Ziad,,,
books/kl/WangZL01,Yang W. Lee,,,
books/kl/Manolopoulos2003,Yannis Manolopoulos,,,
books/kl/Manolopoulos2003,Alexandros Nanopoulos,,,
books/kl/Manolopoulos2003,Eleni Tousidou,,,
books/kl/GuidaLZ99,Giovanni Guida,,,
books/kl/GuidaLZ99,Gianfranco Lamperti,,,
books/kl/GuidaLZ99,Marina Zanella,,,
books/fischer/Stoll02,Clifford Stoll,,,
books/eh/Michalewicz92,Zbigniew Michalewicz,,,
books/eh/PembertonD1982,Steven Pemberton,,,
books/eh/PembertonD1982,Martin Daniels,,,
books/eh/MichieST94,Donald Michie,,,
books/eh/MichieST94,David J. Spiegelhalter,,,
books/eh/MichieST94,C. C. Taylor,,,
books/ol/Vossen2008,Gottfried Vossen,,,
books/ol/DoberkatD02,Ernst-Erich Doberkat,,,
books/ol/DoberkatD02,Stefan Dißmann,,,
books/ol/Kastens1990,Uwe Kastens,,,
books/ol/KemperW09,Alfons Kemper,,,
books/ol/KemperW09,Martin Wimmer 0001,,,
books/ol/AppelrathZ91,Hans-Jürgen Appelrath,,,
books/ol/AppelrathZ91,Roland Zimmerling,,,
books/ol/Lang03,Hans-Werner Lang,,,
books/ol/DoberkatD99,Ernst-Erich Doberkat,,,
books/ol/DoberkatD99,Stefan Dißmann,,,
books/ol/Bruderer2012,Herbert E. Bruderer,,,
books/ol/KemperE04,Alfons Kemper,,,
books/ol/KemperE04,André Eickler,,,
books/ol/KemperE11,Alfons Kemper,,,
books/ol/KemperE11,André Eickler,,,
books/ol/Blum01,Norbert Blum,,,
books/ol/OberschelpV03,Walter Oberschelp,,,
books/ol/OberschelpV03,Gottfried Vossen,,,
books/ol/KemperE01,Alfons Kemper,,,
books/ol/KemperE01,André Eickler,,,
books/ol/Schoning02,Uwe Schöning,,,
books/ol/Vossen00,Gottfried Vossen,,,
books/ol/KemperE09,Alfons Kemper,,,
books/ol/Schmitt05,Ingo Schmitt,,,
books/ol/PernulU01,Günther Pernul,,,
books/ol/PernulU01,Rainer Unland,,,
books/ol/Hedtstuck00,Ulrich Hedtstück,,,
books/ol/Dieterich01,Ernst-Wolfgang Dieterich,,,
books/ol/KemperE06,Alfons Kemper,,,
books/ol/KemperE06,André Eickler,,,
books/duv/Schoning93,Harald Schöning,,,
books/duv/OemigCH1991,Frank Oemig,,,
books/duv/OemigCH1991,Armin B. Cremers,,,
books/duv/OemigCH1991,Gerhard Heyer,,,
