EDITOR_KEY,EDITOR_NAME,EDITOR_AUX,EDITOR_ORCID
journals/corr/CoeckeHP14,Bob Coecke,,
journals/corr/CoeckeHP14,Ichiro Hasuo,,
journals/corr/CoeckeHP14,Prakash Panangaden,,
journals/corr/Rehof15,Jakob Rehof,,
journals/corr/BjornerFRS14,Nikolaj Bjørner,,
journals/corr/BjornerFRS14,Fabio Fioravanti,,
journals/corr/BjornerFRS14,Andrey Rybalchenko,,
journals/corr/BjornerFRS14,Valerio Senni,,
journals/corr/abs-1208-3151,Ezio Bartocci,,
journals/corr/abs-1208-3151,Luca Bortolussi,,
journals/corr/YoshidaV13,Nobuko Yoshida,,
journals/corr/YoshidaV13,Wim Vanderbauwhede,,
journals/corr/GlabbeekGH15,Rob J. van Glabbeek,,
journals/corr/GlabbeekGH15,Jan Friso Groote,,
journals/corr/GlabbeekGH15,Peter Höfner,,
journals/corr/CantoneD16,Domenico Cantone,,
journals/corr/CantoneD16,Giorgio Delzanno,,
journals/corr/abs-1208-4301,Ulrike Golas,,0000-0002-6567-0000
journals/corr/abs-1208-4301,Thomas Soboll,,
journals/corr/abs-1103-3111,Tom Hirschowitz,,
journals/corr/ChatterjeeEJ14,Krishnendu Chatterjee,,
journals/corr/ChatterjeeEJ14,Rüdiger Ehlers,,
journals/corr/ChatterjeeEJ14,Susmit Jha,,
journals/corr/abs-1210-2028,Marco Faella,,
journals/corr/abs-1210-2028,Aniello Murano,,
journals/corr/BanerjeeDDH13,Anindya Banerjee,,
journals/corr/BanerjeeDDH13,Olivier Danvy,,
journals/corr/BanerjeeDDH13,Kyung-Goo Doh,,
journals/corr/BanerjeeDDH13,John Hatcliff,,
journals/corr/GraudenziCMA13,Alex Graudenzi,,
journals/corr/GraudenziCMA13,Giulio Caravagna,,
journals/corr/GraudenziCMA13,Giancarlo Mauri,,
journals/corr/GraudenziCMA13,Marco Antoniotti,,
journals/corr/Holzenspies13,Philip K. F. Hölzenspies,,
journals/corr/LomuscioV16,Alessio Lomuscio,,
journals/corr/LomuscioV16,Moshe Y. Vardi,,
journals/corr/abs-1108-1452,Luca Aceto,,
journals/corr/abs-1108-1452,Mohammad Reza Mousavi,,
journals/corr/CervesatoS15,Iliano Cervesato,,
journals/corr/CervesatoS15,Carsten Schürmann,,
journals/corr/abs-1207-0554,Doron A. Peled,,
journals/corr/abs-1207-0554,Sven Schewe,,0000-0002-9093-9518
journals/corr/abs-1108-4077,Bas Luttik,,
