CDROM_KEY,CDROM_NAME
conf/icde/BayardoAG99,DiSC2_1/out/papers/icde/00710188.pdf
conf/icde/ShawZ90,ICDE90/P154.pdf
conf/icde/DeshpandeL92,ICDE92/P068.pdf
conf/icde/Lohman86,ICDE86/P225.pdf
conf/icde/BuchmannMHD89,ICDE89/P470.pdf
conf/icde/TriantafillouX94,ICDE94/P032.pdf
conf/icde/HsuP95,ICDE95/P298.pdf
conf/icde/ChawatheAW98,ICDE98/P004.pdf
conf/icde/ChiuL87,ICDE87/P322.pdf
conf/icde/Heinanen86,ICDE86/P598.pdf
conf/icde/ShekharL95,ICDE95/P410.pdf
conf/icde/HardwickSS87,ICDE87/P138.pdf
conf/icde/Rathmann84,ICDE84/P175.pdf
conf/icde/LaiL87,ICDE87/P347.pdf
conf/icde/McLeodS95,ICDE95/P015.pdf
conf/icde/LuMR87,ICDE87/P112.pdf
conf/icde/TakakuraK93,ICDE93/P439.pdf
conf/icde/KraissMG99,DiSC2_1/out/papers/icde/00710552.pdf
conf/icde/ShultzM87,ICDE87/P190.pdf
conf/icde/SistlaWCD97,ICDE97/P422.pdf
conf/icde/ElmagarmidH88,ICDE88/P564.pdf
conf/icde/MamouM91,ICDE91/P060.pdf
conf/icde/FerhatosmanogluAA99,DiSC2_1/out/papers/icde/00710608.pdf
conf/icde/PirotteR89,ICDE89/P652.pdf
conf/icde/Chatziantoniou99,DiSC2_1/out/papers/icde/00710250.pdf
conf/icde/Starmer84,ICDE84/P586.pdf
conf/icde/Ahn86,ICDE86/P374.pdf
conf/icde/Johnson98,ICDE98/P231.pdf
conf/icde/Yau87,ICDE87/P084.pdf
conf/icde/DuPS95,ICDE95/P063.pdf
conf/icde/YongNY94,ICDE94/P120.pdf
conf/icde/LeeL90,ICDE90/P289.pdf
conf/icde/Dittrich87,ICDE87/P510.pdf
conf/icde/ThomasianM94,ICDE94/P111.pdf
conf/icde/RicheldiT93,ICDE93/P616.pdf
conf/icde/ChangS86,ICDE86/P112.pdf
conf/icde/KitsuregawaTN92,ICDE92/P256.pdf
conf/icde/FongLW97,ICDE97/P104.pdf
conf/icde/SkoldR96,ICDE96/P392.pdf
conf/icde/CheungHNW96,ICDE96/P106.pdf
conf/icde/HuangC91,ICDE91/P192.pdf
conf/icde/Wurden97,ICDE97/P149.pdf
conf/icde/GardarinV92,ICDE92/P320.pdf
conf/icde/Roman87,ICDE87/P085.pdf
conf/icde/YokotaKM99,DiSC2_1/out/papers/icde/00710448.pdf
conf/icde/LieuwenGA96,ICDE96/P412.pdf
conf/icde/SongJ95,ICDE95/P485.pdf
conf/icde/GuhaRS99,DiSC2_1/out/papers/icde/00710512.pdf
conf/icde/LiuSYR98,ICDE98/P276.pdf
conf/icde/Carlis86,ICDE86/P254.pdf
conf/icde/DemurjianHM86,
conf/icde/LienCW88,ICDE88/P092.pdf
conf/icde/Dutta89,ICDE89/P118.pdf
conf/icde/JeffersonM86,ICDE86/P474.pdf
conf/icde/OhmoriKT91,ICDE91/P210.pdf
conf/icde/ApostolicoBBD95,ICDE95/P556.pdf
conf/icde/MoffatZ94,ICDE94/P428.pdf
conf/icde/ZhaoSC95,ICDE95/P261.pdf
