EDITOR_KEY,EDITOR_NAME,EDITOR_AUX,EDITOR_ORCID
books/daglib/0029209,Michael Grabski,,
books/daglib/0027800,Paul Warren,,
books/daglib/0027800,John Davies,,
books/daglib/0027800,Elena Simperl,,
books/daglib/0036821,Hermann Winner,,
books/daglib/0036821,Stephan Hakuli,,
books/daglib/0036821,Felix Lotz,,
books/daglib/0036821,Christina Singer,,
books/daglib/0028294,Minhua Ma,,
books/daglib/0028294,Andreas Oikonomou,,
books/daglib/0028294,Lakhmi C. Jain,,
books/daglib/0027903,Sabine Trepte,,
books/daglib/0027903,Leonard Reinecke,,
books/daglib/0037616,Michal Araszkiewicz,,
books/daglib/0037616,Krzysztof Pleszka,,
books/daglib/0023873,Michael Jünger,,
books/daglib/0023873,Thomas M. Liebling,,
books/daglib/0023873,Denis Naddef,,
books/daglib/0023873,George L. Nemhauser,,
books/daglib/0023873,William R. Pulleyblank,,
books/daglib/0023873,Gerhard Reinelt,,
books/daglib/0023873,Giovanni Rinaldi,,0000-0003-0148-2470
books/daglib/0023873,Laurence A. Wolsey,,
books/daglib/0028914,Yannis Charalabidis,,
books/daglib/0028914,Sotirios Koussouris,,
books/daglib/0038064,Ronald L. Graham,,
books/daglib/0038064,Jaroslav Nesetril,,
books/daglib/0038064,Steve Butler,,
books/daglib/0032905,Gianluca Baldassarre,,0000-0002-1277-4447
books/daglib/0032905,Marco Mirolli,,
books/daglib/0037617,Michal Araszkiewicz,,
books/daglib/0037617,Jaromír Savelka,,
books/daglib/0032906,Ana Moreira,,
books/daglib/0032906,Ruzanna Chitchyan,,0000-0001-6293-3445
books/daglib/0032906,João Araújo 0001,,
books/daglib/0032906,Awais Rashid,,0000-0002-0109-1341
books/daglib/0026697,Haluk Demirkan,,
books/daglib/0026697,James C. Spohrer,,
books/daglib/0026697,Vikas Krishna,,
books/daglib/0028683,Roberto Baldoni,,
books/daglib/0028683,Gregory V. Chockler,,0000-0001-6700-9235
books/daglib/0026676,David Taniar,,
books/daglib/0026676,Li Chen,,
books/daglib/0031313,Paul L. Rosin,,
books/daglib/0031313,John P. Collomosse,,
books/daglib/0027896,Stan Z. Li,,
books/daglib/0027896,Anil K. Jain,,
books/daglib/0037709,Jan vom Brocke,,
books/daglib/0037709,Stefan Seidel,,
books/daglib/0037709,Jan Recker,,0000-0002-2072-5792
books/daglib/0016906,Mauricio G. C. Resende,,
books/daglib/0016906,Panos M. Pardalos,,
books/daglib/0035378,Jean-Claude Falmagne,,
books/daglib/0035378,Dietrich Albert,,0000-0001-6701-3058
books/daglib/0035378,Christopher Doble,,
books/daglib/0035378,David Eppstein,,
books/daglib/0035378,Xiangen Hu,,
books/daglib/0032067,René Doursat,,
books/daglib/0032067,Hiroki Sayama,,
books/daglib/0032067,Olivier Michel,,
books/daglib/0027901,Bebo White,,
books/daglib/0027901,Irwin King,,
books/daglib/0027901,Philip Tsang,,
books/daglib/0027803,Lihui Wang,,0000-0001-8679-8049
books/daglib/0027803,Amos H. C. Ng,,
books/daglib/0027803,Kalyanmoy Deb,,
books/daglib/0041170,Luis Moura,,
books/daglib/0041170,Izzat Darwazeh,,
books/daglib/0036985,Albert Fleischmann,,
books/daglib/0036985,Werner Schmidt,,
books/daglib/0036985,Christian Stary,,
books/daglib/0026652,Steven C. H. Hoi,,
books/daglib/0026652,Jiebo Luo,,
books/daglib/0026652,Susanne Boll,,
books/daglib/0026652,Dong Xu,,
books/daglib/0026652,Rong Jin,,
books/daglib/0028967,Jane Cleland-Huang,,
books/daglib/0028967,Olly Gotel,,
books/daglib/0028967,Andrea Zisman,,
books/daglib/0032130,Yan Zhang 0002,,
books/daglib/0032130,Laurence Tianruo Yang,,
books/daglib/0032130,Mieso K. Denko,,
books/daglib/0033328,John M. Carroll,,
books/daglib/0015254,Emilia Mendes,,
books/daglib/0015254,Nile Mosley,,
books/daglib/0038902,Jaeyoung Choi,,
books/daglib/0038902,Gerald Friedland,,
books/daglib/0035235,Maria Carla Galavotti,,
books/daglib/0035235,Dennis Dieks,,
books/daglib/0035235,Wenceslao J. Gonzalez,,
books/daglib/0035235,Stephan Hartmann,,
books/daglib/0035235,Thomas Uebel,,
books/daglib/0035235,Marcel Weber,,
books/daglib/0027960,Lars Linsen,,
books/daglib/0027960,Hans Hagen,,
books/daglib/0027960,Bernd Hamann,,
books/daglib/0027960,Hans-Christian Hege,,
books/daglib/0023509,Athanasios V. Vasilakos,,
books/daglib/0023509,Manish Parashar,,
books/daglib/0023509,Stamatis Karnouskos,,0000-0003-3519-8232
books/daglib/0023509,Witold Pedrycz,,
books/daglib/0040398,Lung-Hsiang Wong,,0000-0002-0402-9199
books/daglib/0040398,Marcelo Milrad,,
books/daglib/0040398,Marcus Specht,,
books/daglib/0025465,Andrew Adamatzky,,
books/daglib/0040377,S. Barry Cooper,,
books/daglib/0040377,Mariya Ivanova Soskova,,
books/daglib/0040430,Dirk Koch,,
books/daglib/0040430,Frank Hannig,,
books/daglib/0040430,Daniel Ziener,,
