PUBLISHER_KEY,PUBLISHER_NAME,PUBLISHER_HREF
books/mk/HoosS2004,Elsevier / Morgan Kaufmann,
books/mk/Stonebraker94,Morgan Kaufmann,db/publishers/mkp.html
books/mk/GutingS2005,Morgan Kaufmann,
books/mk/WittenB03,Morgan Kaufmann,db/publishers/mkp.html
books/mk/WeissK90,Morgan Kaufmann,db/publishers/mkp.html
books/mk/BunemanSA99,Morgan Kaufmann,db/publishers/mkp.html
books/mk/ONeilN00,Morgan Kaufmann,
books/mk/GrayR93,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Saracco98,Morgan Kaufmann,
books/mk/Stonebraker96,Morgan Kaufmann,db/publishers/mkp.html
books/mk/HennessyP96,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Stonebraker98,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Gray93,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Lynch96,Morgan Kaufmann,
books/mk/WittenMB99,Morgan Kaufmann,
books/mk/FayyadGW2001,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Cattell97,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Touretzky86,Morgan Kaufmann,db/publishers/mkp.html
books/mk/VossenH2007,Morgan Kaufmann,db/publishers/mkp.html
books/mk/MeltonS93,Morgan Kaufmann,db/publishers/mkp.html
books/mk/PattersonH97,Morgan Kaufmann,
books/mk/Westman00,Morgan Kaufmann,
books/mk/ONeil94,Morgan Kaufmann,db/publishers/mkp.html
books/mk/HanKP2011,Morgan Kaufmann,
books/mk/PattersonH90,Morgan Kaufmann,db/publishers/mkp.html
books/mk/BernsteinN96,Morgan Kaufmann,db/publishers/mkp.html
books/mk/ZanioloCFSSZ97,Morgan Kaufmann,db/publishers/mkp.html
books/mk/WidomC96,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Gray91,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Olson03,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Sayood96,Morgan Kaufmann,
books/mk/Lesk97,Morgan Kaufmann,
books/mk/Mueller2006,Morgan Kaufmann,db/publishers/mkp.html
